image_id,pa_deg,fl_mm,mt_mm
IMG_00001.tif,16.364,94.443,23.842
IMG_00002.tif,14.893,88.415,16.698
IMG_00003.tif,13.538,98.798,22.368
IMG_00004.tif,21.078,92.691,25.260
IMG_00005.tif,18.283,105.182,26.899
IMG_00006.tif,22.345,92.659,34.408
IMG_00007.tif,19.367,88.872,27.225
IMG_00008.tif,22.994,79.172,27.908
IMG_00009.tif,14.351,81.645,17.644
IMG_00010.tif,14.17,80.131,18.244
IMG_00011.tif,14.387,73.391,18.193
IMG_00012.tif,13.217,93.927,19.767
IMG_00013.tif,10.02,128.775,22.915
IMG_00014.tif,14.788,99.859,26.292
IMG_00015.tif,12.807,107.117,23.892
IMG_00016.tif,17.598,89.648,26.270
IMG_00017.tif,15.694,84.328,22.503
IMG_00018.tif,15.43,95.618,23.874
IMG_00019.tif,15.145,116.41,24.810
IMG_00020.tif,12.89,85.298,18.040
IMG_00021.tif,19.445,76.741,16.566
IMG_00022.tif,17.066,78.087,21.658
IMG_00023.tif,12.25,113.523,22.418
IMG_00024.tif,17.476,92.467,25.805
IMG_00025.tif,19.71,89.558,24.312
IMG_00026.tif,18.908,89.555,25.097
IMG_00027.tif,18.112,78.138,21.709
IMG_00028.tif,20.135,80.704,20.814
IMG_00029.tif,15.078,84.943,22.812
IMG_00030.tif,13.321,71.389,17.005
IMG_00031.tif,11.718,77.038,16.394
IMG_00032.tif,14.662,107.175,25.722
IMG_00033.tif,16.53,88.754,21.482
IMG_00034.tif,17.238,104.411,31.164
IMG_00035.tif,17.842,81.727,17.787
IMG_00036.tif,21.777,82.596,24.459
IMG_00037.tif,18.261,49.41,11.622
IMG_00038.tif,20.969,65.437,15.864
IMG_00039.tif,18.575,72.126,16.344
IMG_00040.tif,21.363,56.091,16.138
IMG_00041.tif,19.874,64.848,21.039
IMG_00042.tif,17.589,79.641,21.174
IMG_00043.tif,20.426,53.593,16.127
IMG_00044.tif,18.124,74.764,15.733
IMG_00045.tif,14.964,72.323,17.733
IMG_00046.tif,14.992,49.975,13.248
IMG_00047.tif,14.295,73.914,13.241
IMG_00048.tif,15.126,50.566,11.758
IMG_00049.tif,16.033,63.616,15.708
IMG_00050.tif,21.492,71.793,18.972
IMG_00051.tif,14.402,70.137,14.285
IMG_00052.tif,20.725,67.698,18.513
IMG_00053.tif,20.216,56.949,15.686
IMG_00054.tif,14.058,68.128,15.634
IMG_00055.tif,18.068,62.524,16.103
IMG_00056.tif,14.701,111.523,26.301
IMG_00057.tif,14.653,111.877,26.301
IMG_00058.tif,14.833,110.504,26.288
IMG_00059.tif,14.971,139.231,26.303
IMG_00060.tif,15.065,138.158,26.356
IMG_00061.tif,23.991,101.296,25.201
IMG_00062.tif,24.055,101.326,25.190
IMG_00063.tif,24.066,102.169,25.197
IMG_00064.tif,23.364,110.251,25.166
IMG_00065.tif,24.049,103.327,25.255
IMG_00066.tif,14.061,78.876,18.408
IMG_00067.tif,14.069,78.822,18.397
IMG_00068.tif,14.473,77.112,18.408
IMG_00069.tif,14.128,79.486,18.412
IMG_00070.tif,14.249,78.155,18.390
IMG_00071.tif,12.607,81.609,18.678
IMG_00072.tif,12.463,82.692,18.670
IMG_00073.tif,12.748,88.407,18.654
IMG_00074.tif,13.381,82.949,18.655
IMG_00075.tif,13.21,84.108,18.651
