image_id,pa_deg,fl_mm,mt_mm,n,ok,note
im_01_arch,28.749883275080705,38.68078002442533,15.174696597117308,9,True,blend
im_02_arch,15.7146559182953,38.771336575445375,9.53020749721112,17,True,blend
im_03_arch,23.44124640723838,48.820963245008535,17.241563423170398,18,True,blend
im_04_arch,19.236372018485536,58.83619350917211,16.859290549678953,23,True,blend
im_05_arch,18.947949221075064,68.31960533951647,21.14944402129683,24,True,blend
im_06_arch,12.780993658942853,84.33323791248552,18.779274853464813,23,True,blend
im_07_arch,15.373351171865565,52.187674873413485,13.64094925521938,8,True,blend
im_08_arch,21.969704304379018,63.293308604534694,24.427471770311268,19,True,blend
im_09_arch,12.816734349795325,63.38091533915071,15.501691887839646,28,True,blend
im_10_arch,21.239805502098932,53.14526310236249,20.330951329161216,40,True,blend
im_11_arch,16.717420529927487,47.12480994033797,12.385351933667055,16,True,blend
im_12_arch,13.797147738831313,67.94069244753703,16.549867916471104,45,True,blend
im_13_arch,13.725183536657624,72.54927051652207,17.845051747647727,37,True,blend
im_14_arch,23.7916038895786,60.27882937461355,21.58957784088179,7,True,blend
im_15_arch,,,17.230823459552504,0,False,no usable fascicle fragments
im_16_arch,14.77317689030068,49.78990523835385,12.22744767805006,19,True,blend
im_17_arch,17.399359783412727,72.80268548676189,20.28323139907208,13,True,blend
im_18_arch,18.933872603054912,70.58955669274926,21.61531986030061,25,True,blend
im_19_arch,16.362936122648694,72.44230038115262,20.19997743549526,29,True,blend
im_20_arch,18.40247437248314,33.076688100875955,9.84493204080679,14,True,blend
im_21_arch,15.797030332173495,74.5110013890324,16.78329083441577,11,True,blend
im_22_arch,14.782533728034434,71.76321545391396,20.370813874679808,32,True,blend
im_23_arch,17.181443718524466,55.14254189879806,14.807439117765291,23,True,blend
im_24_arch,17.902149711263167,54.14298831524276,14.63117899365472,16,True,blend
im_25_arch,19.415352399088462,62.23266727433711,19.969051171943427,32,True,blend
im_26_arch,18.92727236399337,68.99851069406007,22.80389206753509,23,True,blend
im_27_arch,19.249287172054416,61.507838711966684,16.265989710597818,23,True,blend
im_28_arch,14.865287183999452,68.17694982819944,17.982431520990634,37,True,blend
im_29_arch,23.18722462709653,62.445275780478624,19.828546734812814,29,True,blend
im_30_arch,18.669016302191373,62.39375881775625,20.18536035665525,19,True,blend
im_31_arch,15.605809875320613,60.08501676703918,14.565248258477828,28,True,blend
im_32_arch,14.271867255592078,61.97701414226724,14.935464990189105,16,True,blend
im_33_arch,15.290561589296754,52.10881603458086,12.70843305311294,19,True,blend
im_34_arch,23.371472991590142,47.75358981583013,17.17267331965333,20,True,blend
im_35_arch,20.069309823183584,58.12024135399275,18.039632314589284,29,True,blend
