family,n,frac_all,frac_band,n_comp,ang_med,ang_mad,len_mean_px,pa_ours,n_ours,ratio_frac_band,ratio_n_comp,under_fires
still:png:800x1200,58,0.008558333333333334,0.017370151569399687,15.0,12.472381774610835,1.8041798803587081,85.17148072378976,19.21669830349815,15.0,0.7074791393029731,0.7692307692307693,False
still:tif:800x1200,90,0.0136109375,0.02679491293372695,25.0,10.307237704294373,1.5020689511082352,103.32947905609227,14.773507210432456,25.5,1.0913457988154096,1.2820512820512822,False
video:tif:512x465,2,0.03278309811827957,0.06319409675035167,29.5,6.7629190923859515,1.8344328048812186,54.63780282637652,12.863686395288578,11.0,2.5738696061080333,1.5128205128205128,False
video:tif:513x461,1,0.009860756978007805,0.013105099299787575,11.0,14.542363535839746,0.9006952514685267,45.87221986597235,20.674657463132956,11.0,0.5337653120671149,0.5641025641025641,False
video:tif:513x463,1,0.029231345702870087,0.07962402113976133,31.0,9.346242558154799,1.3336977868451854,55.85612890797277,22.683363046510046,30.0,3.243053678532002,1.5897435897435896,False
video:tif:513x464,1,0.039431673052362705,0.024676724137931035,33.0,7.499430532440018,1.8525496529799046,62.526958696769945,,0.0,1.0050728391268555,1.6923076923076923,False
video:tif:513x465,2,0.010993732838667756,0.01439643604316717,16.5,9.147427479336056,1.7485804791066908,44.68036751217312,17.919031401161966,16.5,0.586360927258288,0.8461538461538461,False
video:tif:513x466,1,0.022814547097357127,0.03146199640038765,19.0,6.489095488190001,1.9321467252638698,68.19324834723221,14.380426665172003,19.0,1.281434191588275,0.9743589743589743,False
video:tif:644x1088,50,0.017127842985020094,0.020531495481308986,26.0,-13.374619097893717,1.5454236158444798,97.80803134060707,11.304760147556346,24.0,0.8362393784351628,1.3333333333333333,False
video:tif:800x1200,91,0.010867708333333333,0.016832745443856555,18.0,-9.936551372262722,1.5106959191585005,108.3723955154419,11.389460260005517,17.0,0.6855908085284051,0.9230769230769231,False
video:tif:853x1069,11,0.013551466951506651,0.02127402758079604,19.0,10.259665374164552,1.5668463424451886,98.97128425325666,18.467412121853926,15.0,0.8664824058808978,0.9743589743589743,False
video:tif:853x959,1,0.005344566866374826,0.006960176392393476,10.0,9.29879942186958,1.0756147365986504,80.96617488861084,15.558099417692652,10.0,0.28348512583863356,0.5128205128205128,True
TRAIN (reference),300,0.013747395833333332,0.02455217490442646,19.5,-13.374474444721692,1.2732088268161883,105.04206434249878,17.170153124764887,19.0,1.0,1.0,False
