rank,teamId,teamName,submissionDate,score
1,15590127,PatrickAIForFun,2026-09-14 12:08:30.676000,0.28263
2,16220144,LuPW,2026-08-05 04:48:49.610000,0.29358
3,15937934,suguuuuu,2026-08-04 13:10:16.380000,0.31898
4,16675357,Vaibhav Patel,2026-09-08 13:51:54.173000,0.33358
5,16429640,Homin Park,2026-09-17 00:04:25.600000,0.33745
6,16779061,HMT,2026-09-09 11:59:15.793000,0.34218
7,16678994,william,2026-08-10 14:26:11.540000,0.35134
8,16693535,Dread Development,2026-09-19 00:00:48.923000,0.35876
9,16621100,Menelik Zafir,2026-09-17 01:43:32.736000,0.35971
10,16833614,Luis Angel Sánchez Marín,2026-09-21 05:15:20.456000,0.36681
11,16868809,Emre Atilgan,2026-09-21 04:01:47.176000,0.37167
12,15529716,test_umud,2026-09-04 00:15:09.630000,0.37349
13,16778277,easonyanyan,2026-09-21 01:28:54.146000,0.37853
14,16882895,Ajouden,2026-09-18 17:39:59.546000,0.37950
15,16781448,Bruhabcdfg,2026-09-20 23:24:15.413000,0.38167
16,16777368,chocolat,2026-09-04 05:50:21.880000,0.38361
17,15703601,AT0641,2026-07-03 14:18:50.283000,0.38366
18,16113481,Misha Shikhov,2026-09-18 21:51:24.736000,0.39497
19,16833124,LKonrad,2026-09-13 14:40:42.793000,0.39711
20,16894278,Earl Ramsey,2026-09-21 05:40:41.500000,0.39718
21,16602345,SCLim2022080004,2026-09-07 00:46:16.360000,0.39853
22,16794247,Thalles.Mota,2026-09-09 12:44:19.276000,0.40067
23,16823125,tudonovo tudono,2026-09-09 14:05:17.920000,0.40227
24,16793273,Benadict Infant A,2026-09-20 01:33:56.080000,0.40255
25,16848619,BioMS Tec,2026-09-08 15:17:44.880000,0.40364
26,16756301,Andrey Chankin,2026-09-09 00:21:17.783000,0.41201
27,16808702,Mingrui Li,2026-09-03 12:40:08.970000,0.42146
28,16862826,Electric Weasle,2026-09-15 13:17:27.750000,0.42958
29,15800812,Yufo,2026-07-16 20:13:51.826000,0.43061
30,15997300,Santiago Maniches,2026-09-19 23:26:43.800000,0.43556
31,16920086,Kainwang Roger,2026-09-19 12:48:59.400000,0.43883
32,15533619,CuteClaw,2026-09-02 18:23:13.123000,0.43978
33,16853961,Jangho,2026-09-21 07:37:56.113000,0.44081
34,15529820,Surya milenial,2026-09-01 00:28:43.850000,0.44320
35,16913212,keeaitec,2026-09-19 02:37:58.753000,0.44372
36,16786479,T Hansda,2026-09-20 21:55:34.736000,0.44504
37,15549242,Sardor Razikov,2026-09-04 06:38:28.643000,0.44508
38,16839036,harmo-miu,2026-09-21 02:07:03.533000,0.44512
39,16780252,Miguel Malt,2026-08-28 14:09:33.460000,0.44561
40,16844089,MinhTran2346,2026-09-08 16:46:35,0.44654
41,16095764,João Victor,2026-09-14 00:54:57.816000,0.44667
42,16934368,Sōsuke Aizen,2026-09-21 07:01:11.260000,0.44747
43,16773242,Yaojinming,2026-08-27 03:05:56.916000,0.44762
44,15992702,StephenNedumpally,2026-09-04 17:08:04.506000,0.44851
45,16751926,Sasha Sam,2026-09-10 01:51:24.483000,0.44866
46,16892570,Jinx JK,2026-09-14 17:54:24.516000,0.44866
47,16932460,TalhaBacak,2026-09-21 06:53:33.593000,0.45020
48,16805346,Rister,2026-09-02 07:02:48.483000,0.45120
49,16702818,Yin Li,2026-08-30 02:55:42.126000,0.45127
50,16839512,sakshigoel15,2026-09-16 16:16:05.710000,0.45134
51,16734795,rperez04,2026-08-22 14:55:31.940000,0.45134
52,16616850,Akhilesh godugu,2026-08-24 17:38:45.760000,0.45134
53,15528485,Ashish Mishra,2026-08-25 13:55:54.820000,0.45134
54,16633166,[Deleted] ed6cb32a-2439-4f5b-8e02-8a16b57c958c,2026-09-05 09:26:02.570000,0.45134
55,15561044,Kumar Abhijeet,2026-08-29 22:10:23.660000,0.45134
56,16811008,mkai1981,2026-09-03 01:50:56.006000,0.45134
57,16811290,Mikey Marszewski,2026-09-11 02:31:30.136000,0.45134
58,16817825,Andika98 Andika,2026-09-03 09:46:54.950000,0.45134
59,16818121,Yash Gurjar,2026-09-03 11:54:10.553000,0.45134
60,15531562,jorge fabian avila,2026-09-06 18:17:55.726000,0.45134
61,16853588,Gonzalo Prieto,2026-09-16 11:02:17.683000,0.45134
62,16853014,Richard Pagan,2026-09-08 12:38:34.340000,0.45134
63,16859604,Khanochir,2026-09-09 09:42:46.040000,0.45134
64,16870909,Bina Salama,2026-09-18 04:29:35.663000,0.45134
65,16811238,Hanh Tran,2026-09-13 10:59:38.830000,0.45134
66,16885916,Mathieu W,2026-09-13 11:07:06,0.45134
67,16887517,Saivardhan98,2026-09-14 14:27:26.766000,0.45134
68,16886445,Ghazaros Barseghyan,2026-09-14 00:03:31.870000,0.45134
69,16844037,Ali hussien jawad,2026-09-15 02:42:04.566000,0.45134
70,16905119,Md. Hamid Hosen,2026-09-16 07:56:40.053000,0.45134
71,16907436,Ivarick,2026-09-17 12:46:38.533000,0.45134
72,16832720,Francisco,2026-09-19 13:16:56.850000,0.45134
73,16778386,Koushik Rudra,2026-09-19 18:28:24.083000,0.45134
74,16381317,Shishio Makoto,2026-07-02 02:41:52.413000,0.45615
75,16780026,TingXuan Huang,2026-09-02 12:47:52.403000,0.45909
76,16271543,[Deleted] f67f4b37-9cd2-46ca-94fd-0a268f6d13b6,2026-06-16 20:31:31.163000,0.46041
77,16907741,Poker-Coder,2026-09-21 07:24:40.396000,0.47502
78,16881263,Miva Magic,2026-09-14 07:41:12.960000,0.48097
79,16912575,Vansh Kamra,2026-09-21 05:55:42.450000,0.48266
80,15942417,pcrpf123,2026-09-20 20:27:48.403000,0.48480
81,16613785,Paranoia,2026-08-01 09:06:02.080000,0.48485
82,16855978,Lâm Huy,2026-09-12 14:55:45.956000,0.48618
83,16913390,Sam Narula,2026-09-21 07:57:08.736000,0.48679
84,16823867,Santanu Banerjee,2026-09-20 17:23:06.453000,0.49323
85,16882608,Clare Laurent,2026-09-12 19:36:20.603000,0.49332
86,16904863,Mimosa,2026-09-16 07:09:17.003000,0.49332
87,16916573,Sunil kamra,2026-09-21 06:35:35.343000,0.49732
88,16041984,Yusaku Muroya,2026-08-23 04:55:04.336000,0.51543
89,16498320,Zhiyuan Ding,2026-09-17 13:42:03.640000,0.52044
90,16889778,zhaozh,2026-09-17 09:02:52.656000,0.53845
91,16867187,Pj Sh,2026-09-14 10:08:00.400000,0.54275
92,16594038,Changye Li,2026-07-26 02:07:34.903000,0.54317
93,16638417,Rahul Ray,2026-08-06 08:12:39.556000,0.54399
94,16616363,CornUnicorn,2026-07-30 03:02:12.016000,0.54630
95,15945902,yingfali,2026-08-27 11:25:37.926000,0.55218
96,16768845,Y. Kim,2026-09-11 13:55:40.850000,0.56171
97,16797606,thwaitsusa2,2026-09-13 13:41:26.006000,0.56382
98,16843075,DONG YIXUAN239,2026-09-16 13:32:37.340000,0.56584
99,16839538,Dylan Moraes,2026-09-11 14:02:56.140000,0.57097
