image_id,h,w,apo_h,apo_w,pa_deg,mt_px,n_fasc,ok,note
image_0000,556,996,864,1152,10.694474947771395,233.76191919045982,5,True,blend
image_0001,556,996,864,1152,10.853238228158013,222.67885728113197,3,True,blend
image_0002,556,996,864,1152,9.074106182356891,183.35407762300346,6,True,blend
image_0003,556,996,864,1152,7.833605250712486,196.18358471614505,8,True,blend
image_0004,556,996,864,1152,3.8627105031631013,224.24885712308276,2,True,trig
image_0005,556,996,864,1152,11.434803687627108,219.8452063256647,9,True,blend
image_0006,556,996,864,1152,9.694465061520544,217.8354027362642,8,True,blend
image_0007,556,996,864,1152,6.863398980737248,238.03599305978665,7,True,blend
image_0008,556,996,864,1152,9.961844295516608,226.45627264771886,6,True,blend
image_0009,556,996,864,1152,16.99003399649952,233.74831944615008,8,True,blend
image_0010,556,996,864,1152,10.812365496521458,191.56072687190834,7,True,blend
image_0011,556,996,864,1152,15.200314385748813,225.70790957640102,7,True,blend
image_0012,556,996,864,1152,12.719136219732516,183.82920100997626,7,True,blend
image_0013,556,996,864,1152,10.941787162345152,213.12308859320157,8,True,blend
image_0014,556,996,864,1152,12.094459496273974,202.84164247671197,15,True,blend
image_0015,556,996,864,1152,13.65269902524749,249.3183009681439,20,True,blend
image_0016,556,996,864,1152,11.095396806318792,212.21120538977152,18,True,blend
image_0017,556,996,864,1152,10.463542898587557,148.50883501779023,14,True,blend
image_0018,556,996,864,1152,4.561427212700453,128.77721522058565,5,True,blend
image_0019,556,996,864,1152,5.4354046332045005,166.02443025592004,9,True,blend
image_0020,556,996,864,1152,11.093679475208788,173.7836275519462,13,True,blend
image_0021,556,996,864,1152,10.85980786277628,198.88894179961667,13,True,blend
image_0022,556,996,864,1152,8.521954807264894,279.2995823886236,12,True,blend
image_0023,556,996,864,1152,5.552862801833465,202.30864944164804,9,True,blend
image_0024,556,996,864,1152,14.63827754114032,259.0320538207759,13,True,blend
image_0025,556,996,864,1152,15.90490895792676,222.46654901197118,6,True,blend
image_0026,556,996,864,1152,15.279565885685791,249.6975268510059,10,True,blend
image_0027,556,996,864,1152,14.73785663021671,215.52814148068444,6,True,blend
image_0028,556,996,864,1152,12.918257834773433,268.713760822338,12,True,blend
image_0029,556,996,864,1152,10.178314230409393,237.22311855503872,15,True,blend
image_0030,556,996,864,1152,16.110048062633677,282.28368145033113,15,True,blend
image_0031,556,996,864,1152,13.104600752510894,224.93319172829487,14,True,blend
image_0032,556,996,864,1152,14.934639804067372,227.15823507317182,17,True,blend
image_0033,556,996,864,1152,8.60323348276605,257.2639674807383,15,True,blend
image_0034,556,996,864,1152,12.713874125067125,211.96600103804585,16,True,blend
image_0035,556,996,864,1152,14.498171090881115,188.50628881434352,16,True,blend
image_0036,556,996,864,1152,12.557711301818546,255.12062696592156,14,True,blend
image_0037,556,996,864,1152,17.20280482258395,218.24317376821014,16,True,blend
image_0038,556,996,864,1152,18.83280885041304,182.37230854000563,17,True,blend
image_0039,556,996,864,1152,11.578945494644989,174.03256165185633,16,True,blend
image_0040,556,996,864,1152,12.28639741057359,232.8890230037645,15,True,blend
image_0041,556,996,864,1152,12.484088589560209,246.69519162606605,15,True,blend
